url,puesto,ubicacion,empresa,salario,contrato,jornada,modalidad
https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-fullstack-remoto-en-rio-cuarto-2EA6E049F4AAA7DD61373E686DCF3405,Desarrollador Fullstack - Remoto,"Río Cuarto, Córdoba",DANIOTTI MARTIN DANILO,A convenir,Contrato por tiempo indeterminado,Jornada completa,Remoto
https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-guidewire-senior-en-san-nicolas-D8CEC0717E66094261373E686DCF3405,Desarrollador Guidewire Senior,"San Nicolás, Capital Federal",C&S informática s.a.,A convenir,Contrato por tiempo indeterminado,Jornada completa,Remoto
https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-programador-plc-zona-villa-lynch-en-san-martin-F103BE4E714707D361373E686DCF3405,Programador PLC - Zona Villa Lynch,"San Martín, Buenos Aires-GBA","ADN, Recursos Humanos",A convenir,otro tipo de contrato,Jornada completa,N/A
https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-react-senior-senior-en-san-nicolas-2BA07CCEE370CB5961373E686DCF3405,Desarrollador React  (senior) - Senior,"San Nicolás, Capital Federal",C&S informática s.a.,A convenir,Contrato por tiempo indeterminado,Jornada completa,Presencial y remoto
https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-guideware-developer-seniorespecialista-en-san-nicolas-64B99DA913B436D961373E686DCF3405,Guideware Developer Senior/Especialista,"San Nicolás, Capital Federal",C&S informática s.a.,A convenir,otro tipo de contrato,Jornada completa,Remoto
https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-back-end-developer-node-js-senior-rubro-oil-and-gas-remoto-industria-petrolera-en-vicente-lopez-9612CBD820E5CF9061373E686DCF3405,Back End Developer Node JS Senior Rubro Oil and Gas Remoto - Industria Petrolera,"Vicente López, Buenos Aires-GBA",DG Consultores,A convenir,Contrato por tiempo indeterminado,Jornada completa,Remoto
https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-java-senior-en-san-nicolas-354E613827B7C5A261373E686DCF3405,Desarrollador Java Senior,"San Nicolás, Capital Federal",C&S informática s.a.,A convenir,Contrato por tiempo indeterminado,Jornada completa,Presencial y remoto
https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-20056-desarrollador-full-stack-net-con-react-hibrido-villa-urquiza-caba-en-villa-urquiza-8D80A78CCDBC10CE61373E686DCF3405,Ref. 20056: Desarrollador Full Stack .Net con React - Híbrido Villa Urquiza CABA,"Villa Urquiza, Capital Federal","ADN, Recursos Humanos","$ 11.110,00 (Mensual)",Contrato por tiempo indeterminado,Jornada completa,N/A
https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-programador-de-torno-cnc-garin-en-garin-B372818D82A72B7061373E686DCF3405,Programador de torno CNC Garín,"Garín, Buenos Aires",Adecco Argentina S.A.,A convenir,Contrato por tiempo indeterminado,Jornada completa,N/A
https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-react-senior-en-san-nicolas-65EF4533EB17D89161373E686DCF3405,Desarrollador React Senior,"San Nicolás, Capital Federal",C&S informática s.a.,A convenir,Contrato por tiempo indeterminado,Jornada completa,Remoto
